window_id,video_flag,audio_flag,eeg_flag,window_emotion
002_00,GOOD,GOOD,GOOD,Anger
002_01,GOOD,GOOD,GOOD,Anger
002_02,GOOD,GOOD,GOOD,Anger
002_03,GOOD,GOOD,GOOD,Anger
002_04,GOOD,GOOD,GOOD,Anger
002_05,GOOD,GOOD,GOOD,Anger
002_06,GOOD,GOOD,GOOD,Anger
002_07,GOOD,GOOD,GOOD,Anger
002_08,GOOD,GOOD,GOOD,Anger
002_09,GOOD,GOOD,GOOD,Anger
002_10,GOOD,GOOD,GOOD,Anger
002_11,GOOD,GOOD,GOOD,Anger
002_12,GOOD,GOOD,GOOD,Anger
002_13,GOOD,GOOD,GOOD,Anger
002_14,GOOD,GOOD,GOOD,Anger
002_15,GOOD,GOOD,GOOD,Anger
002_16,GOOD,GOOD,GOOD,Anger
002_17,GOOD,GOOD,GOOD,Anger
002_18,GOOD,GOOD,GOOD,Anger
002_19,GOOD,GOOD,GOOD,Anger
002_20,GOOD,GOOD,GOOD,Anger
002_21,GOOD,GOOD,GOOD,Anger
002_22,GOOD,GOOD,GOOD,Anger
002_23,GOOD,GOOD,GOOD,Anger
002_24,GOOD,GOOD,GOOD,Anger
002_25,GOOD,GOOD,GOOD,Anger
002_26,GOOD,GOOD,GOOD,Anger
002_27,GOOD,GOOD,GOOD,Anger
002_28,GOOD,GOOD,GOOD,Anger
002_29,GOOD,GOOD,GOOD,Anger
002_30,GOOD,GOOD,GOOD,Anger
002_31,GOOD,GOOD,GOOD,Anger
002_32,GOOD,GOOD,GOOD,Anger
002_33,GOOD,GOOD,GOOD,Anger
002_34,GOOD,GOOD,GOOD,Anger
002_35,GOOD,GOOD,GOOD,Anger
002_36,GOOD,GOOD,GOOD,Anger
002_37,GOOD,GOOD,GOOD,Anger
002_38,GOOD,GOOD,GOOD,Anger
002_39,GOOD,GOOD,GOOD,Anger
002_40,GOOD,GOOD,GOOD,Anger
002_41,GOOD,GOOD,GOOD,Anger
002_42,GOOD,GOOD,GOOD,Anger
002_43,GOOD,GOOD,GOOD,Anger
002_44,GOOD,GOOD,GOOD,Anger
002_45,GOOD,GOOD,GOOD,Anger
002_46,GOOD,GOOD,GOOD,Anger
002_47,GOOD,GOOD,GOOD,Anger
002_48,GOOD,GOOD,GOOD,Anger
002_49,GOOD,GOOD,GOOD,Anger
002_50,GOOD,GOOD,GOOD,Anger
002_51,GOOD,GOOD,GOOD,Anger
002_52,GOOD,GOOD,GOOD,Anger
002_53,GOOD,GOOD,GOOD,Anger
002_54,GOOD,GOOD,GOOD,Anger
002_55,GOOD,GOOD,GOOD,Anger
002_56,GOOD,GOOD,GOOD,Anger
002_57,GOOD,GOOD,GOOD,Anger
002_58,GOOD,GOOD,GOOD,Anger
002_59,GOOD,GOOD,GOOD,Anger
002_60,GOOD,GOOD,GOOD,Anger
002_61,GOOD,GOOD,GOOD,Anger
002_62,GOOD,GOOD,GOOD,Anger
002_63,GOOD,GOOD,GOOD,Anger
002_64,GOOD,GOOD,GOOD,Anger
002_65,GOOD,GOOD,GOOD,Anger
004_00,GOOD,GOOD,GOOD,Anger
004_01,GOOD,GOOD,GOOD,Anger
004_02,GOOD,GOOD,GOOD,Anger
004_03,GOOD,GOOD,GOOD,Anger
004_04,GOOD,GOOD,GOOD,Anger
004_05,GOOD,GOOD,GOOD,Anger
004_06,GOOD,GOOD,GOOD,Anger
004_07,GOOD,GOOD,GOOD,Anger
004_08,GOOD,GOOD,GOOD,Anger
004_09,GOOD,GOOD,GOOD,Anger
004_10,GOOD,GOOD,GOOD,Anger
004_11,GOOD,GOOD,GOOD,Anger
004_12,GOOD,GOOD,GOOD,Anger
004_13,GOOD,GOOD,GOOD,Anger
004_14,GOOD,GOOD,GOOD,Anger
004_15,GOOD,GOOD,GOOD,Anger
004_16,GOOD,GOOD,GOOD,Anger
004_17,GOOD,GOOD,GOOD,Anger
004_18,GOOD,GOOD,GOOD,Anger
004_19,GOOD,GOOD,GOOD,Anger
004_20,GOOD,GOOD,GOOD,Anger
004_21,GOOD,GOOD,GOOD,Anger
004_22,GOOD,GOOD,GOOD,Anger
004_23,GOOD,GOOD,GOOD,Anger
004_24,GOOD,GOOD,GOOD,Anger
004_25,GOOD,GOOD,GOOD,Anger
004_26,GOOD,GOOD,GOOD,Anger
004_27,GOOD,GOOD,GOOD,Anger
004_28,GOOD,GOOD,GOOD,Anger
004_29,GOOD,GOOD,GOOD,Anger
004_30,GOOD,GOOD,GOOD,Anger
004_31,GOOD,GOOD,GOOD,Anger
004_32,GOOD,GOOD,GOOD,Anger
004_33,GOOD,GOOD,GOOD,Anger
004_34,GOOD,GOOD,GOOD,Anger
004_35,GOOD,GOOD,GOOD,Anger
004_36,GOOD,GOOD,GOOD,Anger
004_37,GOOD,GOOD,GOOD,Anger
004_38,GOOD,GOOD,GOOD,Anger
004_39,GOOD,GOOD,GOOD,Anger
004_40,GOOD,GOOD,GOOD,Anger
004_41,GOOD,GOOD,GOOD,Anger
004_42,GOOD,GOOD,GOOD,Anger
004_43,GOOD,GOOD,GOOD,Anger
004_44,GOOD,GOOD,GOOD,Anger
004_45,GOOD,GOOD,GOOD,Anger
004_46,GOOD,GOOD,GOOD,Anger
004_47,GOOD,GOOD,GOOD,Anger
004_48,GOOD,GOOD,GOOD,Anger
004_49,GOOD,GOOD,GOOD,Anger
004_50,GOOD,GOOD,GOOD,Anger
004_51,GOOD,GOOD,GOOD,Anger
004_52,GOOD,GOOD,GOOD,Anger
004_53,GOOD,GOOD,GOOD,Anger
004_54,GOOD,GOOD,GOOD,Anger
004_55,GOOD,GOOD,GOOD,Anger
004_56,GOOD,GOOD,GOOD,Anger
004_57,GOOD,GOOD,GOOD,Anger
004_58,GOOD,GOOD,GOOD,Anger
004_59,GOOD,GOOD,GOOD,Anger
004_60,GOOD,GOOD,GOOD,Anger
004_61,GOOD,GOOD,GOOD,Anger
004_62,GOOD,GOOD,GOOD,Anger
004_63,GOOD,GOOD,GOOD,Anger
004_64,GOOD,GOOD,GOOD,Anger
004_65,GOOD,GOOD,GOOD,Anger
006_00,GOOD,GOOD,GOOD,Anger
006_01,GOOD,GOOD,GOOD,Anger
006_02,GOOD,GOOD,GOOD,Anger
006_03,GOOD,GOOD,GOOD,Anger
006_04,GOOD,GOOD,GOOD,Anger
006_05,GOOD,GOOD,GOOD,Anger
006_06,GOOD,GOOD,GOOD,Anger
006_07,GOOD,GOOD,GOOD,Anger
006_08,GOOD,GOOD,GOOD,Anger
006_09,GOOD,GOOD,GOOD,Anger
006_10,GOOD,GOOD,GOOD,Anger
006_11,GOOD,GOOD,GOOD,Anger
006_12,GOOD,GOOD,GOOD,Anger
006_13,GOOD,GOOD,GOOD,Anger
006_14,GOOD,GOOD,GOOD,Anger
006_15,GOOD,GOOD,GOOD,Anger
006_16,GOOD,GOOD,GOOD,Anger
006_17,GOOD,GOOD,GOOD,Anger
006_18,GOOD,GOOD,GOOD,Anger
006_19,GOOD,GOOD,GOOD,Anger
006_20,GOOD,GOOD,GOOD,Anger
006_21,GOOD,GOOD,GOOD,Anger
006_22,GOOD,GOOD,GOOD,Anger
006_23,GOOD,GOOD,GOOD,Anger
006_24,GOOD,GOOD,GOOD,Anger
006_25,GOOD,GOOD,GOOD,Anger
006_26,GOOD,GOOD,GOOD,Anger
